계정과목,전년,26년 1월,2월(실적),3월(실적),4월(실적),5월(실적),6월(실적),7월(예상),8월(예상),9월(예상),10월(예상),11월(예상),12월(예상),RF_05,RF_06,전년대비,계획대비
기초잔액,"3,984","7,563","4,875","2,563","2,457","2,450","2,761","2,432","1,839","1,837","2,560","3,294","4,875","7,563","7,563","3,579",0
영업활동,"-7,379","-2,688","-2,417",-106,-7,311,-329,-593,-2,723,734,"1,581","1,522","-1,313","-1,269","6,110",0
매출수금,"23,264","1,834","1,043","1,430","1,426","1,769","1,583","1,856","1,345","2,402","2,202","3,358","3,499","23,739","23,747",483,0
온라인(US+EU),"20,643","1,380","1,002","1,165","1,149","1,500","1,499","1,647","1,160","2,217","1,921","3,299","3,299","21,250","21,238",595,0
홀세일,"1,590",73,36,260,131,107,81,63,180,180,135,54,54,"1,335","1,354",-236,0
라이선스,"1,031",381,5,5,146,162,3,146,5,5,146,5,146,"1,154","1,155",124,0
물품대 지출,"-6,011","-1,704",-621,-46,-38,-122,-570,-833,-59,-141,0,0,0,"-4,195","-4,134","1,877",0
비용지출,"-24,632","-2,818","-2,839","-1,490","-1,395","-1,336","-1,342","-1,616","-1,288","-1,538","-1,468","-1,777","-1,977","-20,856","-20,882","3,750",0
인건비,"-4,560",-358,-325,-327,-556,-320,-337,-340,-340,-340,-340,-340,-343,"-4,272","-4,265",295,0
지급수수료,"-6,251","-1,504",-184,-222,-200,-237,-222,375,-199,-218,-248,-347,-403,"-4,224","-3,610","2,641",0
광고선전비,"-4,903",-459,"-1,034",-468,-226,-369,-415,-445,-377,-416,-470,-539,-725,"-5,263","-5,943","-1,040",0
물류운반비,"-3,786",-294,-374,-252,-276,-294,-265,-251,-253,-260,-237,-351,-233,"-3,304","-3,342",444,
관세,"-3,010",-86,-810,-163,-15,-6,0,-807,0,-157,0,0,0,"-2,044","-2,044",966,
세일즈텍스,"-1,017",-69,-48,-55,-58,-48,-62,-106,-75,-106,-94,-134,-230,"-1,128","-1,084",-67,
기타비용,"-1,105",-47,-65,-2,-64,-62,-40,-42,-45,-42,-78,-66,-43,-620,-595,510,0
재무활동,"10,958",0,105,0,0,0,0,0,0,0,0,0,"-3,000","-2,895","-2,895","-13,853",0
본사차입(운영자금),"10,943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-10,943",
본사차입상환(운영자금),0,0,0,0,0,0,0,0,0,0,0,0,"-7,000","-7,000","-7,000","-7,000",
STE주주환원(청산),0,0,0,0,0,0,0,0,0,0,0,0,"4,000","4,000","4,000","4,000",
재무활동_운영자금 소계,"10,943",0,0,0,0,0,0,0,0,0,0,0,"-3,000","-3,000","-3,000","-13,943",0
본사차입(SPA),"18,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-18,000",
본사차입상환(SPA),0,0,"-18,168",0,0,0,0,0,0,0,0,0,0,"-18,168","-18,168","-18,168",
STE지분매입,"-17,985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,985",
STE감자/배당,0,0,"18,273",0,0,0,0,0,0,0,0,0,0,"18,273","18,273","18,273",
투자소계,15,0,105,0,0,0,0,0,0,0,0,0,0,105,105,90,0
기말잔액,"7,563","4,875","2,563","2,457","2,450","2,761","2,432","1,839","1,837","2,560","3,294","4,875","3,398","3,355","3,399","-4,164",0
Net Cash,"3,579","-2,688","-2,312",-106,-7,311,-329,-593,-2,723,734,"1,581","-1,478","-4,208","-3,634","-7,213",0
