계정과목,25년(합계),26년 1월(실적),2월(실적),3월(실적),4월(실적),5월(실적),6월(예상),7월(예상),8월(예상),9월(예상),10월(예상),11월(예상),12월(예상),RF_04,RF_05,전년대비,계획대비
기초잔액,"12,394","18,089","17,786",529,471,"1,183","2,442","1,557","3,162","3,162","3,162","4,767","4,733","18,089","18,089",0,0
로열티수금,"13,135",307,"1,052",0,761,"1,259",0,"1,605",0,0,"1,605",0,0,"6,589","6,589",0,0
BBUK,970,307,0,0,260,0,0,105,0,0,105,0,0,777,777,0,0
Movin,"6,513",0,0,0,0,753,0,0,0,0,0,0,0,753,753,0,0
Benjamin,"2,138",0,363,0,371,0,0,394,0,0,363,0,0,"1,491","1,491",0,0
SUGI,"2,602",0,559,0,0,506,0,523,0,0,564,0,0,"2,152","2,152",0,0
SUGI FR,0,0,0,0,0,0,0,478,0,0,468,0,0,946,946,0,0
Silver,468,0,0,0,0,0,0,8,0,0,8,0,0,16,16,0,0
BDS,444,0,130,0,130,0,0,97,0,0,97,0,0,454,454,0,0
비용지출,"-7,970",-610,-17,-58,-49,0,-885,0,0,0,0,-34,0,"-1,653","-1,653",0,0
법률비용,"-5,943",-610,0,-58,0,0,0,0,0,0,0,0,0,-668,-668,0,0
광고선전비,"-1,450",0,-6,0,0,0,-749,0,0,0,0,0,0,-755,-755,0,0
기타비용,-577,0,-11,0,-49,0,-136,0,0,0,0,-34,0,-230,-230,0,0
STO 감자/배당,0,0,"-18,292",0,0,0,0,0,0,0,0,0,0,"-18,292","-18,292",,
기말잔액,"17,559","17,786",529,471,"1,183","2,442","1,557","3,162","3,162","3,162","4,767","4,733","4,733","4,733","4,733",0,0
26년 기말 주주환원,0,0,0,0,0,0,0,0,0,0,0,0,"-4,500","-4,500","-4,500",0,0
환원 후 기말잔액,"17,559","17,786",529,471,"1,183","2,442","1,557","3,162","3,162","3,162","4,767","4,733",233,233,233,0,0
Net Cash,"5,165",-303,"-16,914",-58,712,"1,259",-885,"1,605",0,0,"1,605",-34,"-4,500","-17,856","-17,856",0,0
